     HF-A          CAS(6,6)-A    HF-B          CAS(6,6)-B
0.7  -99.93044898  -100.00922442  -99.93044898  -100.00922435
0.8  -100.00265748  -100.08679935  -100.00265748  -100.08679934
0.9  -100.01970406  -100.10906920  -100.01970406  -100.10906921
1.0  -100.00987003  -100.10426578  -100.00987003  -100.10426576
1.1  -99.98739744  -100.08668949  -99.98739744  -100.08668948
1.2  -99.95952604  -100.06375828  -99.95952604  -100.06375829
1.3  -99.93000542  -100.03949066  -99.93000542  -100.03949066
1.4  -99.90078979  -100.01615010  -99.90078979  -100.01615010
1.5  -99.87285247  -99.99498155  -99.87285247  -99.99498155
1.6  -99.84662408  -99.97656918  -99.84662408  -99.97656919
1.7  -99.82225305  -99.96107056  -99.82225305  -99.96107056
1.8  -99.79975162  -99.94839118  -99.79975162  -99.94839118
1.9  -99.77906426  -99.93829287  -99.77906426  -99.93829287
2.0  -99.76009618  -99.93045267  -99.76009618  -99.93045268
2.1  -99.74273040  -99.92450405  -99.74273040  -99.92450405
2.2  -99.72684379  -99.92007572  -99.72684379  -99.92007572
2.3  -99.71232005  -99.91682584  -99.71232005  -99.91682584
2.4  -99.69905551  -99.91446399  -99.69905551  -99.91446399
2.5  -99.68695791  -99.91275857  -99.68695791  -99.91275857
2.6  -99.67594205  -99.91153273  -99.67594205  -99.91153273
2.7  -99.66592607  -99.91065490  -99.66592607  -99.91065490
2.8  -99.65682995  -99.91002837  -99.65682995  -99.91002837
2.9  -99.64857584  -99.90958238  -99.64857584  -99.90958238
3.0  -99.64108922  -99.90926539  -99.64108922  -99.90926537
3.1  -99.63429988  -99.90904007  -99.63429987  -99.90904006
3.2  -99.62814243  -99.90887962  -99.62814243  -99.90887962
3.3  -99.62255645  -99.90876499  -99.62255645  -99.90876500
3.4  -99.61748630  -99.90868275  -99.61748630  -99.90868276
3.5  -99.61288099  -99.90862349  -99.61288099  -99.90862349
3.6  -99.60869397  -99.90858061  -99.60869397  -99.90858062
3.7  -99.60488291  -99.90854952  -99.60488291  -99.90854952
3.8  -99.60140948  -99.90852695  -99.60140948  -99.90852695
3.9  -99.59823906  -99.90851060  -99.59823906  -99.90851060
4.0  -99.59534044  -99.90849880  -99.59534044  -99.90849880
